scheme,goodput_mean,goodput_ci95,p50_latency_mean,p95_latency_mean,p99_latency_mean,p999_latency_mean,max_latency_mean,avg_repair_rounds_mean,avg_repair_frames_mean,peak_repair_frames_max,avg_buffer_frames_mean,peak_buffer_frames_max,experiment,M,piB,beta,p_bad
crc_arq,0.9528436704615595,0.0018610598845088912,34.5,34.5,34.5,69.0,69.0,0,0,0,1,1,channel_sweep,32,0.04,0.2,0.1
modeA,0.8844696188531828,0.0022802590931298924,47.0,47.0,47.0,94.0,109.66666666666667,0,0,0,1,1,channel_sweep,32,0.04,0.2,0.1
modeB_flush,0.8293243217527737,0.02256306513533324,1115.5,2231.0,3346.5,3346.5,3346.5,0.11733333333333333,3.7546666666666666,64,32,32,channel_sweep,32,0.04,0.2,0.1
modeB_selective_retry,0.9212529634243157,0.0006983717357259297,1115.5,1163.5,1221.0,1257.5,1257.5,0.12533333333333332,0.16933333333333334,4,32,32,channel_sweep,32,0.04,0.2,0.1
adaptive_sr,0.9225953764471738,0.0010817604712365302,1483.5,1531.5,1566.0,1600.5,1600.5,0.09733333333333333,0.12666666666666668,3,34.22933333333334,64,channel_sweep,32,0.04,0.2,0.1
crc_arq,0.9471739980354866,0.0014068421330176981,34.5,34.5,34.5,69.0,92.0,0,0,0,1,1,channel_sweep,32,0.1,0.2,0.1
modeA,0.8789349240604082,0.0034919838750707803,47.0,47.0,78.33333333333333,94.0,125.33333333333333,0,0,0,1,1,channel_sweep,32,0.1,0.2,0.1
modeB_flush,0.7046608554435848,0.01095774383007045,1115.5,3346.5,4462.0,5949.333333333333,5949.333333333333,0.31466666666666665,10.069333333333333,160,32,32,channel_sweep,32,0.1,0.2,0.1
modeB_selective_retry,0.9155781720584236,0.003177598533130719,1115.5,1198.0,1255.5,1285.0,1285.0,0.24533333333333332,0.364,4,32,32,channel_sweep,32,0.1,0.2,0.1
adaptive_sr,0.9152175779235625,0.0003926392756090117,471.5,1147.5,1191.0,1276.0,1276.0,0.12533333333333335,0.16533333333333333,5,15.946666666666667,32,channel_sweep,32,0.1,0.2,0.1
crc_arq,0.9357430380643874,0.004930626828583302,34.5,34.5,69.0,80.5,103.5,0,0,0,1,1,channel_sweep,32,0.2,0.2,0.1
modeA,0.8707564135589004,0.003681812504245145,47.0,47.0,94.0,94.0,141.0,0,0,0,1,1,channel_sweep,32,0.2,0.2,0.1
modeB_flush,0.5270771040609865,0.019667250662749998,1115.5,4833.833333333333,7436.666666666667,8180.333333333333,8180.333333333333,0.7586666666666666,24.27733333333333,256,32,32,channel_sweep,32,0.2,0.2,0.1
modeB_selective_retry,0.9065137503198695,0.0032839634363025726,1115.5,1232.5,1287.5,1333.5,1333.5,0.43333333333333335,0.68,6,32,32,channel_sweep,32,0.2,0.2,0.1
adaptive_sr,0.9070210744815129,0.0016414896509539202,287.5,947.5,1163.5,1244.0,1244.0,0.13466666666666668,0.176,4,9.973333333333333,32,channel_sweep,32,0.2,0.2,0.1
