M,scheme,goodput_mean,goodput_ci95,p99_latency_mean,avg_repair_frames_mean,peak_repair_frames_max
4,modeB_flush,0.8811623684807629,0.0058401181724948,299.0,0.1653333333333333,8
4,modeB_selective_retry,0.9094793885940216,0.0012656770815423,197.5,0.0346666666666666,3
8,modeB_flush,0.8606898861508168,0.014538369910689,766.6666666666666,0.576,24
8,modeB_selective_retry,0.9128250215780016,0.0033302982185728,363.0,0.0826666666666666,4
16,modeB_flush,0.816266037225907,0.0104189664259881,1502.6666666666667,2.1333333333333333,64
16,modeB_selective_retry,0.9143865950753928,0.0058040132189235,662.0,0.1813333333333333,4
32,modeB_flush,0.7046608554435848,0.0109577438300704,4462.0,10.069333333333333,160
32,modeB_selective_retry,0.9155781720584236,0.0031775985331307,1255.5,0.364,4
64,modeB_flush,0.5627537304049568,0.0184158731068848,11097.5,41.472,448
64,modeB_selective_retry,0.9167636310182786,0.0013401199813321,2391.5,0.6906666666666667,6
128,modeB_flush,0.3405778585332497,0.0185251646615102,45750.833333333336,221.01333333333332,1792
128,modeB_selective_retry,0.9173869329406468,0.0004666296876045,4657.0,1.3453333333333333,8
