experiment,scheme,tag_policy,workload,pipeline_depth,adversary,fec_t,seeds,goodput_mean,goodput_ci95,throughput_payload_B_per_cycle_mean,throughput_payload_B_per_cycle_ci95,p50_latency_cycles_mean,p50_latency_cycles_ci95,p95_latency_cycles_mean,p95_latency_cycles_ci95,p99_latency_cycles_mean,p99_latency_cycles_ci95,p999_latency_cycles_mean,p999_latency_cycles_ci95,max_latency_cycles_mean,max_latency_cycles_ci95,avg_repair_rounds_mean,avg_repair_rounds_ci95,avg_repair_frames_mean,avg_repair_frames_ci95,peak_repair_frames_mean,peak_repair_frames_ci95,security_drops_mean,security_drops_ci95,rejected_frames_mean,rejected_frames_ci95
adversarial,flush,repair_authenticator,packet256,1,final_frame,0,20,0.4036124863017804,0.002949503009842994,3.2162197345452936,0.023411140421885867,2303.0,0.0,4257.425,254.0417152909092,5323.475,264.97319204412474,6685.65,341.04074181709996,6685.65,341.04074181709996,1.2934999999999999,0.01677422828337935,41.391999999999996,0.5367753050681392,150.4,9.21342654128088,0.0,0.0,0.0,0.0
adversarial,flush,repair_authenticator,packet256,1,none,0,20,0.717484034091763,0.008164002365702284,5.6999094352146065,0.064405069253609,1118.5,0.0,3072.925,254.0417152909092,4020.525,264.97319204412474,5678.825,386.83482782645916,5678.825,386.83482782645916,0.2906666666666667,0.014674953320905664,9.301333333333334,0.46959850626898125,123.2,10.450582094087542,0.0,0.0,0.0,0.0
adversarial,flush,repair_authenticator,packet256,1,one_per_epoch,0,20,0.4036124863017804,0.002949503009842994,3.2162197345452936,0.023411140421885867,2303.0,0.0,4257.425,254.0417152909092,5323.475,264.97319204412474,6685.65,341.04074181709996,6685.65,341.04074181709996,1.2934999999999999,0.01677422828337935,41.391999999999996,0.5367753050681392,150.4,9.21342654128088,0.0,0.0,0.0,0.0
adversarial,flush,repair_authenticator,packet256,1,reorder,0,20,0.654191865523968,0.006786348625972092,5.200294790443313,0.05360295075836928,1256.5,0.0,3210.925,254.0417152909092,4158.525,264.97319204412474,5816.825,386.83482782645916,5816.825,386.83482782645916,0.2906666666666667,0.014674953320905664,9.301333333333334,0.46959850626898125,123.2,10.450582094087542,0.0,0.0,1200.0,0.0
adversarial,flush,repair_authenticator,packet256,1,repeat_repair,0,20,0.05444057524123448,0.0,0.43529317994633226,0.0,20131.5,0.0,20131.5,0.0,20131.5,0.0,20131.5,0.0,20131.5,0.0,16.0,0.0,512.0,0.0,512.0,0.0,300.0,0.0,0.0,0.0
adversarial,flush,repair_authenticator,packet256,1,replay,0,20,0.7005392783734264,0.007782668996858143,5.566211552315933,0.061417042393126856,1153.0,0.0,3107.425,254.0417152909092,4055.025,264.97319204412474,5713.325,386.83482782645916,5713.325,386.83482782645916,0.2906666666666667,0.014674953320905664,9.301333333333334,0.46959850626898125,123.2,10.450582094087542,0.0,0.0,300.0,0.0
adversarial,flush,repair_authenticator,packet256,1,tag_target,0,20,0.7179874272799907,0.008175470878382043,5.703880644589068,0.06449491058176118,1187.5,0.0,3141.925,254.0417152909092,4089.525,264.97319204412474,5747.825,386.83482782645916,5747.825,386.83482782645916,0.2906666666666667,0.014674953320905664,9.301333333333334,0.46959850626898125,123.2,10.450582094087542,300.0,0.0,0.0,0.0
adversarial,modeA,repair_authenticator,packet256,1,final_frame,0,20,0.8312631782951401,0.000455648296117776,4.687672833449918,0.0055861597409531645,50.0,0.0,50.0,0.0,161.0,0.0,222.05,24.830750795186024,349.7,31.959073315068046,0.041546875,0.0005860077535855879,0.041546875,0.0005860077535855879,2.7,0.2879195794150275,0.0,0.0,0.0,0.0
adversarial,modeA,repair_authenticator,packet256,1,none,0,20,0.8562788480904414,0.00048298805433068937,5.005504015404608,0.006361843497435106,50.0,0.0,50.0,0.0,83.3,22.87240840194279,199.85,23.806357448113904,333.05,33.38864307073983,0.010307291666666666,0.0005854833868921939,0.010307291666666666,0.0005854833868921939,2.55,0.30079858622288136,0.0,0.0,0.0,0.0
adversarial,modeA,repair_authenticator,packet256,1,one_per_epoch,0,20,0.8311984454193038,0.0004634738485360431,4.686880119510823,0.005680508401888074,50.0,0.0,50.0,0.0,161.0,0.0,222.05,24.830750795186024,338.6,33.107667726914705,0.041630208333333335,0.0005962143208243106,0.041630208333333335,0.0005962143208243106,2.6,0.29826727681905135,0.0,0.0,0.0,0.0
