class,M,pipeline_depth,seeds,mean_latency,p99_latency,deadline_misses,peak_queue,jain_fairness
bulk,32,1,20,115069.8645474138,210007.0625,53.0,706,0.5952941583709017
coherence,32,1,20,28554.7260501355,52357.06875,366.0,706,0.5952941583709017
dma,32,1,20,143977.018272293,234258.925,154.0,706,0.5952941583709017
packet,32,1,20,15092.457378472222,28174.9,203.7,706,0.5952941583709017
bulk,32,2,20,112779.02532327586,205336.49375,52.9,692,0.5798661405832034
coherence,32,2,20,27905.8908197832,51186.8,362.5,692,0.5798661405832034
dma,32,2,20,139752.89518312103,228393.23125,153.2,692,0.5798661405832034
packet,32,2,20,13848.743229166666,27291.575,212.0,692,0.5798661405832034
bulk,32,4,20,112779.02532327586,205336.49375,52.9,692,0.5798661405832034
coherence,32,4,20,27905.8908197832,51186.8,362.5,692,0.5798661405832034
dma,32,4,20,139752.89518312103,228393.23125,153.2,692,0.5798661405832034
packet,32,4,20,13848.743229166666,27291.575,212.0,692,0.5798661405832034
bulk,32,8,20,112779.02532327586,205336.49375,52.9,692,0.5798661405832034
coherence,32,8,20,27905.8908197832,51186.8,362.5,692,0.5798661405832034
dma,32,8,20,139752.89518312103,228393.23125,153.2,692,0.5798661405832034
packet,32,8,20,13848.743229166666,27291.575,212.0,692,0.5798661405832034
