class,M,pipeline_depth,seeds,mean_latency,p99_latency,deadline_misses,peak_queue,jain_fairness
bulk,8,1,20,94171.15592672414,178336.19375,49,750,0.80173717828471
coherence,8,1,20,74261.46111111112,143955.675,366,750,0.80173717828471
dma,8,1,20,167533.64287420383,235531.7375,154,750,0.80173717828471
packet,8,1,20,41036.30928819445,81580.56875,207,750,0.80173717828471
bulk,8,2,20,45559.6557112069,85118.73125,39.8,693,0.7767198612338573
coherence,8,2,20,33467.6189701897,65229.60625,363,693,0.7767198612338573
dma,8,2,20,81292.90561305733,113386.04375,151.5,693,0.7767198612338573
packet,8,2,20,18016.394155092592,35930.71875,206.9,693,0.7767198612338573
bulk,8,4,20,21158.643318965518,38601.6875,16.05,587,0.6972790535294112
coherence,8,4,20,14056.455589430894,27816.88125,355.1,587,0.6972790535294112
dma,8,4,20,38290.50055732484,52368.55,146.1,587,0.6972790535294112
packet,8,4,20,6383.294068287037,12887.4375,190.5,587,0.6972790535294112
bulk,8,8,20,9379.41390086207,15603.9875,0,387,0.5248801375780655
coherence,8,8,20,4299.69456300813,8870.3125,323,387,0.5248801375780655
dma,8,8,20,16429.724761146495,22141.125,130.45,387,0.5248801375780655
packet,8,8,20,1341.0860532407407,2395.19375,143.7,387,0.5248801375780655
bulk,16,1,20,97381.85808189656,177863.69375,50.95,711,0.6555235090560831
coherence,16,1,20,41735.64109078591,77773.74375,366,711,0.6555235090560831
dma,16,1,20,168422.4499601911,235059.2375,155,711,0.6555235090560831
packet,16,1,20,21725.64236111111,44067.875,203.5,711,0.6555235090560831
bulk,16,2,20,47110.11066810345,84940.05,41.95,631,0.6377699125483125
coherence,16,2,20,17422.098458672088,33571.35625,363,631,0.6377699125483125
dma,16,2,20,81716.56102707006,113151.28125,152,631,0.6377699125483125
packet,16,2,20,9342.651851851851,17722.0625,206.9,631,0.6377699125483125
bulk,16,4,20,21903.100754310344,38479.54375,16.45,481,0.5407329763281719
coherence,16,4,20,6595.297408536585,12221.11875,355.1,481,0.5407329763281719
dma,16,4,20,38434.63316082802,52251.325,147.85,481,0.5407329763281719
packet,16,4,20,2700.4249131944443,4668.50625,187.1,481,0.5407329763281719
bulk,16,8,20,9635.833405172414,15576.01875,0,251,0.4932926138565406
coherence,16,8,20,1398.525592818428,2163.36875,325,251,0.4932926138565406
dma,16,8,20,16490.383877388536,22101.13125,132.65,251,0.4932926138565406
packet,16,8,20,608.8625868055556,1142.58125,1.6,251,0.4932926138565406
bulk,32,1,20,115069.86454741379,210007.0625,53,706,0.5952941583709017
coherence,32,1,20,28554.7260501355,52357.06875,366,706,0.5952941583709017
dma,32,1,20,143977.018272293,234258.925,154,706,0.5952941583709017
packet,32,1,20,15092.457378472222,28174.9,203.7,706,0.5952941583709017
bulk,32,2,20,55984.89859913793,101077.65,46,590,0.5839588359519221
coherence,32,2,20,11635.748848238482,21046.7625,363,590,0.5839588359519221
dma,32,2,20,69465.74709394904,112858.175,150.8,590,0.5839588359519221
packet,32,2,20,6443.296556712963,11469.40625,206.9,590,0.5839588359519221
bulk,32,4,20,26052.900323275862,46284.3375,25.05,395,0.5002581344121009
coherence,32,4,20,4368.362686314364,6949.85,355.1,395,0.5002581344121009
dma,32,4,20,32755.80967356688,52257.19375,144.9,395,0.5002581344121009
packet,32,4,20,1794.497337962963,2842.225,180.65,395,0.5002581344121009
bulk,32,8,20,11848.333620689655,19710.63125,0,205,0.5519325448324137
coherence,32,8,20,1091.4534383468836,1888.10625,328.7,205,0.5519325448324137
dma,32,8,20,13432.777308917197,22287.56875,118.2,205,0.5519325448324137
packet,32,8,20,753.6127314814814,1440.03125,24.4,205,0.5519325448324137
bulk,64,1,20,141414.14310344827,233476.925,54.8,641,0.6018216896675764
coherence,64,1,20,21691.978590785908,38025.025,366,641,0.6018216896675764
dma,64,1,20,106065.4488455414,190666.05,153.35,641,0.6018216896675764
packet,64,1,20,13456.169010416666,22199.425,203.7,641,0.6018216896675764
bulk,64,2,20,68791.88502155173,112523.15625,49,562,0.561113787157897
coherence,64,2,20,10145.107452574526,16104.45625,363,562,0.561113787157897
dma,64,2,20,51142.59789012739,91500.06875,148.9,562,0.561113787157897
packet,64,2,20,5271.61875,8248.95,206.9,562,0.561113787157897
bulk,64,4,20,32221.733405172414,52196.24375,33.8,356,0.5661860691012173
coherence,64,4,20,3749.2354674796748,5479.5625,355.1,356,0.5661860691012173
dma,64,4,20,24169.38594745223,42169.55625,142.9,356,0.5661860691012173
packet,64,4,20,2259.1065104166664,3895.18125,185.4,356,0.5661860691012173
bulk,64,8,20,14698.68135775862,22142.25625,0,208,0.5746667974069478
coherence,64,8,20,1476.723153794038,3020.2625,330.15,208,0.5746667974069478
dma,64,8,20,9636.52428343949,17197.775,98.4,208,0.5746667974069478
packet,64,8,20,969.4381076388889,1955.3375,68.4,208,0.5746667974069478
